Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
205,67.76,50,1000,0.01,16,CIFAR10,53381.07
206,67.79,50,1000,0.01,16,CIFAR10,53381.07
207,67.66,50,1000,0.01,16,CIFAR10,53381.07
208,67.81,50,1000,0.01,16,CIFAR10,53381.07
209,67.72,50,1000,0.01,16,CIFAR10,53381.07
210,67.75,50,1000,0.01,16,CIFAR10,53381.07
211,67.7,50,1000,0.01,16,CIFAR10,53381.07
212,67.76,50,1000,0.01,16,CIFAR10,53381.07
213,67.83,50,1000,0.01,16,CIFAR10,53381.07
214,67.76,50,1000,0.01,16,CIFAR10,53381.07
215,67.85,50,1000,0.01,16,CIFAR10,53381.07
216,67.83,50,1000,0.01,16,CIFAR10,53381.07
217,67.74,50,1000,0.01,16,CIFAR10,53381.07
218,67.84,50,1000,0.01,16,CIFAR10,53381.07
219,67.75,50,1000,0.01,16,CIFAR10,53381.07
220,67.84,50,1000,0.01,16,CIFAR10,53381.07
221,67.9,50,1000,0.01,16,CIFAR10,53381.07
222,67.8,50,1000,0.01,16,CIFAR10,53381.07
223,67.77,50,1000,0.01,16,CIFAR10,53381.07
224,67.9,50,1000,0.01,16,CIFAR10,53381.07
225,67.74,50,1000,0.01,16,CIFAR10,53381.07
226,67.86,50,1000,0.01,16,CIFAR10,53381.07
227,67.71,50,1000,0.01,16,CIFAR10,53381.07
228,67.82,50,1000,0.01,16,CIFAR10,53381.07
229,67.76,50,1000,0.01,16,CIFAR10,53381.07
230,67.81,50,1000,0.01,16,CIFAR10,53381.07
231,67.84,50,1000,0.01,16,CIFAR10,53381.07
232,67.85,50,1000,0.01,16,CIFAR10,53381.07
233,67.84,50,1000,0.01,16,CIFAR10,53381.07
234,67.74,50,1000,0.01,16,CIFAR10,53381.07
235,67.88,50,1000,0.01,16,CIFAR10,53381.07
236,67.88,50,1000,0.01,16,CIFAR10,53381.07
237,67.86,50,1000,0.01,16,CIFAR10,53381.07
238,67.77,50,1000,0.01,16,CIFAR10,53381.07
239,67.8,50,1000,0.01,16,CIFAR10,53381.07
240,67.8,50,1000,0.01,16,CIFAR10,53381.07
241,67.72,50,1000,0.01,16,CIFAR10,53381.07
242,67.74,50,1000,0.01,16,CIFAR10,53381.07
243,67.86,50,1000,0.01,16,CIFAR10,53381.07
244,67.88,50,1000,0.01,16,CIFAR10,53381.07
245,67.97,50,1000,0.01,16,CIFAR10,53381.07
246,67.95,50,1000,0.01,16,CIFAR10,53381.07
247,67.95,50,1000,0.01,16,CIFAR10,53381.07
248,67.92,50,1000,0.01,16,CIFAR10,53381.07
249,67.93,50,1000,0.01,16,CIFAR10,53381.07
250,67.88,50,1000,0.01,16,CIFAR10,53381.07
251,67.78,50,1000,0.01,16,CIFAR10,53381.07
252,67.84,50,1000,0.01,16,CIFAR10,53381.07
253,67.86,50,1000,0.01,16,CIFAR10,53381.07
254,67.89,50,1000,0.01,16,CIFAR10,53381.07
255,67.8,50,1000,0.01,16,CIFAR10,53381.07
256,67.8,50,1000,0.01,16,CIFAR10,53381.07
257,67.86,50,1000,0.01,16,CIFAR10,53381.07
258,67.78,50,1000,0.01,16,CIFAR10,53381.07
259,67.81,50,1000,0.01,16,CIFAR10,53381.07
260,67.83,50,1000,0.01,16,CIFAR10,53381.07
261,67.85,50,1000,0.01,16,CIFAR10,53381.07
262,67.88,50,1000,0.01,16,CIFAR10,53381.07
263,67.79,50,1000,0.01,16,CIFAR10,53381.07
264,67.86,50,1000,0.01,16,CIFAR10,53381.07
265,67.98,50,1000,0.01,16,CIFAR10,53381.07
266,67.92,50,1000,0.01,16,CIFAR10,53381.07
267,67.75,50,1000,0.01,16,CIFAR10,53381.07
268,67.95,50,1000,0.01,16,CIFAR10,53381.07
269,67.99,50,1000,0.01,16,CIFAR10,53381.07
270,67.96,50,1000,0.01,16,CIFAR10,53381.07
271,67.88,50,1000,0.01,16,CIFAR10,53381.07
272,67.89,50,1000,0.01,16,CIFAR10,53381.07
273,67.94,50,1000,0.01,16,CIFAR10,53381.07
274,67.76,50,1000,0.01,16,CIFAR10,53381.07
275,67.85,50,1000,0.01,16,CIFAR10,53381.07
276,67.84,50,1000,0.01,16,CIFAR10,53381.07
277,67.88,50,1000,0.01,16,CIFAR10,53381.07
278,67.94,50,1000,0.01,16,CIFAR10,53381.07
279,68.01,50,1000,0.01,16,CIFAR10,53381.07
280,67.91,50,1000,0.01,16,CIFAR10,53381.07
281,67.97,50,1000,0.01,16,CIFAR10,53381.07
282,68.06,50,1000,0.01,16,CIFAR10,53381.07
283,68.01,50,1000,0.01,16,CIFAR10,53381.07
284,67.93,50,1000,0.01,16,CIFAR10,53381.07
285,67.94,50,1000,0.01,16,CIFAR10,53381.07
286,67.92,50,1000,0.01,16,CIFAR10,53381.07
287,67.87,50,1000,0.01,16,CIFAR10,53381.07
288,67.9,50,1000,0.01,16,CIFAR10,53381.07
289,67.9,50,1000,0.01,16,CIFAR10,53381.07
290,67.92,50,1000,0.01,16,CIFAR10,53381.07
291,67.89,50,1000,0.01,16,CIFAR10,53381.07
292,68.01,50,1000,0.01,16,CIFAR10,53381.07
293,67.91,50,1000,0.01,16,CIFAR10,53381.07
294,67.96,50,1000,0.01,16,CIFAR10,53381.07
295,67.87,50,1000,0.01,16,CIFAR10,53381.07
296,68.06,50,1000,0.01,16,CIFAR10,53381.07
297,67.99,50,1000,0.01,16,CIFAR10,53381.07
298,67.92,50,1000,0.01,16,CIFAR10,53381.07
299,67.88,50,1000,0.01,16,CIFAR10,53381.07
300,67.81,50,1000,0.01,16,CIFAR10,53381.07
301,67.71,50,1000,0.01,16,CIFAR10,53381.07
302,67.87,50,1000,0.01,16,CIFAR10,53381.07
303,67.84,50,1000,0.01,16,CIFAR10,53381.07
304,67.83,50,1000,0.01,16,CIFAR10,53381.07
305,67.86,50,1000,0.01,16,CIFAR10,53381.07
306,67.84,50,1000,0.01,16,CIFAR10,53381.07
307,67.78,50,1000,0.01,16,CIFAR10,53381.07
308,67.83,50,1000,0.01,16,CIFAR10,53381.07
309,67.81,50,1000,0.01,16,CIFAR10,53381.07
310,67.84,50,1000,0.01,16,CIFAR10,53381.07
311,67.84,50,1000,0.01,16,CIFAR10,53381.07
312,67.77,50,1000,0.01,16,CIFAR10,53381.07
313,68.01,50,1000,0.01,16,CIFAR10,53381.07
314,67.89,50,1000,0.01,16,CIFAR10,53381.07
315,67.9,50,1000,0.01,16,CIFAR10,53381.07
316,67.89,50,1000,0.01,16,CIFAR10,53381.07
317,67.87,50,1000,0.01,16,CIFAR10,53381.07
318,67.88,50,1000,0.01,16,CIFAR10,53381.07
319,68.0,50,1000,0.01,16,CIFAR10,53381.07
320,67.98,50,1000,0.01,16,CIFAR10,53381.07
321,68.0,50,1000,0.01,16,CIFAR10,53381.07
322,67.97,50,1000,0.01,16,CIFAR10,53381.07
323,68.04,50,1000,0.01,16,CIFAR10,53381.07
324,67.98,50,1000,0.01,16,CIFAR10,53381.07
325,67.84,50,1000,0.01,16,CIFAR10,53381.07
326,67.88,50,1000,0.01,16,CIFAR10,53381.07
327,67.99,50,1000,0.01,16,CIFAR10,53381.07
328,67.97,50,1000,0.01,16,CIFAR10,53381.07
329,67.99,50,1000,0.01,16,CIFAR10,53381.07
330,68.04,50,1000,0.01,16,CIFAR10,53381.07
331,67.97,50,1000,0.01,16,CIFAR10,53381.07
332,67.92,50,1000,0.01,16,CIFAR10,53381.07
333,68.04,50,1000,0.01,16,CIFAR10,53381.07
334,68.06,50,1000,0.01,16,CIFAR10,53381.07
335,67.99,50,1000,0.01,16,CIFAR10,53381.07
336,68.04,50,1000,0.01,16,CIFAR10,53381.07
337,67.98,50,1000,0.01,16,CIFAR10,53381.07
338,67.98,50,1000,0.01,16,CIFAR10,53381.07
339,67.98,50,1000,0.01,16,CIFAR10,53381.07
340,68.01,50,1000,0.01,16,CIFAR10,53381.07
341,67.96,50,1000,0.01,16,CIFAR10,53381.07
342,67.9,50,1000,0.01,16,CIFAR10,53381.07
343,67.88,50,1000,0.01,16,CIFAR10,53381.07
344,67.9,50,1000,0.01,16,CIFAR10,53381.07
345,67.83,50,1000,0.01,16,CIFAR10,53381.07
346,67.9,50,1000,0.01,16,CIFAR10,53381.07
347,67.91,50,1000,0.01,16,CIFAR10,53381.07
348,67.97,50,1000,0.01,16,CIFAR10,53381.07
349,67.97,50,1000,0.01,16,CIFAR10,53381.07
350,67.99,50,1000,0.01,16,CIFAR10,53381.07
351,67.84,50,1000,0.01,16,CIFAR10,53381.07
352,67.7,50,1000,0.01,16,CIFAR10,53381.07
353,67.92,50,1000,0.01,16,CIFAR10,53381.07
354,67.84,50,1000,0.01,16,CIFAR10,53381.07
355,67.91,50,1000,0.01,16,CIFAR10,53381.07
356,67.86,50,1000,0.01,16,CIFAR10,53381.07
357,67.86,50,1000,0.01,16,CIFAR10,53381.07
358,67.91,50,1000,0.01,16,CIFAR10,53381.07
359,67.91,50,1000,0.01,16,CIFAR10,53381.07
360,67.91,50,1000,0.01,16,CIFAR10,53381.07
361,67.87,50,1000,0.01,16,CIFAR10,53381.07
362,67.92,50,1000,0.01,16,CIFAR10,53381.07
363,67.91,50,1000,0.01,16,CIFAR10,53381.07
364,67.93,50,1000,0.01,16,CIFAR10,53381.07
365,67.92,50,1000,0.01,16,CIFAR10,53381.07
366,67.98,50,1000,0.01,16,CIFAR10,53381.07
367,68.0,50,1000,0.01,16,CIFAR10,53381.07
368,67.94,50,1000,0.01,16,CIFAR10,53381.07
369,67.89,50,1000,0.01,16,CIFAR10,53381.07
370,67.88,50,1000,0.01,16,CIFAR10,53381.07
371,67.88,50,1000,0.01,16,CIFAR10,53381.07
372,67.9,50,1000,0.01,16,CIFAR10,53381.07
373,67.89,50,1000,0.01,16,CIFAR10,53381.07
374,67.91,50,1000,0.01,16,CIFAR10,53381.07
375,67.92,50,1000,0.01,16,CIFAR10,53381.07
376,67.89,50,1000,0.01,16,CIFAR10,53381.07
377,67.91,50,1000,0.01,16,CIFAR10,53381.07
378,67.94,50,1000,0.01,16,CIFAR10,53381.07
379,67.82,50,1000,0.01,16,CIFAR10,53381.07
380,67.82,50,1000,0.01,16,CIFAR10,53381.07
381,67.77,50,1000,0.01,16,CIFAR10,53381.07
382,67.88,50,1000,0.01,16,CIFAR10,53381.07
383,67.9,50,1000,0.01,16,CIFAR10,53381.07
384,67.9,50,1000,0.01,16,CIFAR10,53381.07
385,67.92,50,1000,0.01,16,CIFAR10,53381.07
386,67.94,50,1000,0.01,16,CIFAR10,53381.07
387,67.85,50,1000,0.01,16,CIFAR10,53381.07
388,67.88,50,1000,0.01,16,CIFAR10,53381.07
389,67.89,50,1000,0.01,16,CIFAR10,53381.07
390,67.88,50,1000,0.01,16,CIFAR10,53381.07
391,67.88,50,1000,0.01,16,CIFAR10,53381.07
392,67.78,50,1000,0.01,16,CIFAR10,53381.07
393,67.78,50,1000,0.01,16,CIFAR10,53381.07
394,67.77,50,1000,0.01,16,CIFAR10,53381.07
395,67.82,50,1000,0.01,16,CIFAR10,53381.07
396,67.69,50,1000,0.01,16,CIFAR10,53381.07
397,67.76,50,1000,0.01,16,CIFAR10,53381.07
398,67.8,50,1000,0.01,16,CIFAR10,53381.07
399,67.82,50,1000,0.01,16,CIFAR10,53381.07
400,67.81,50,1000,0.01,16,CIFAR10,53381.07
401,67.82,50,1000,0.01,16,CIFAR10,53381.07
402,67.83,50,1000,0.01,16,CIFAR10,53381.07
403,67.85,50,1000,0.01,16,CIFAR10,53381.07
404,67.84,50,1000,0.01,16,CIFAR10,53381.07
405,67.81,50,1000,0.01,16,CIFAR10,53381.07
406,67.79,50,1000,0.01,16,CIFAR10,53381.07
407,67.8,50,1000,0.01,16,CIFAR10,53381.07
408,67.79,50,1000,0.01,16,CIFAR10,53381.07
409,67.78,50,1000,0.01,16,CIFAR10,53381.07
410,67.81,50,1000,0.01,16,CIFAR10,53381.07
411,67.72,50,1000,0.01,16,CIFAR10,53381.07
412,67.78,50,1000,0.01,16,CIFAR10,53381.07
413,67.78,50,1000,0.01,16,CIFAR10,53381.07
414,67.76,50,1000,0.01,16,CIFAR10,53381.07
415,67.8,50,1000,0.01,16,CIFAR10,53381.07
416,67.73,50,1000,0.01,16,CIFAR10,53381.07
417,67.83,50,1000,0.01,16,CIFAR10,53381.07
418,67.8,50,1000,0.01,16,CIFAR10,53381.07
419,67.81,50,1000,0.01,16,CIFAR10,53381.07
420,67.83,50,1000,0.01,16,CIFAR10,53381.07
421,67.74,50,1000,0.01,16,CIFAR10,53381.07
422,67.82,50,1000,0.01,16,CIFAR10,53381.07
423,67.88,50,1000,0.01,16,CIFAR10,53381.07
424,67.88,50,1000,0.01,16,CIFAR10,53381.07
425,67.88,50,1000,0.01,16,CIFAR10,53381.07
426,67.86,50,1000,0.01,16,CIFAR10,53381.07
427,67.84,50,1000,0.01,16,CIFAR10,53381.07
428,67.78,50,1000,0.01,16,CIFAR10,53381.07
429,67.79,50,1000,0.01,16,CIFAR10,53381.07
430,67.82,50,1000,0.01,16,CIFAR10,53381.07
431,67.79,50,1000,0.01,16,CIFAR10,53381.07
432,67.79,50,1000,0.01,16,CIFAR10,53381.07
433,67.78,50,1000,0.01,16,CIFAR10,53381.07
434,67.77,50,1000,0.01,16,CIFAR10,53381.07
435,67.72,50,1000,0.01,16,CIFAR10,53381.07
436,67.76,50,1000,0.01,16,CIFAR10,53381.07
437,67.74,50,1000,0.01,16,CIFAR10,53381.07
438,67.78,50,1000,0.01,16,CIFAR10,53381.07
439,67.79,50,1000,0.01,16,CIFAR10,53381.07
440,67.73,50,1000,0.01,16,CIFAR10,53381.07
441,67.74,50,1000,0.01,16,CIFAR10,53381.07
442,67.84,50,1000,0.01,16,CIFAR10,53381.07
443,67.81,50,1000,0.01,16,CIFAR10,53381.07
444,67.81,50,1000,0.01,16,CIFAR10,53381.07
445,67.76,50,1000,0.01,16,CIFAR10,53381.07
446,67.79,50,1000,0.01,16,CIFAR10,53381.07
447,67.75,50,1000,0.01,16,CIFAR10,53381.07
448,67.77,50,1000,0.01,16,CIFAR10,53381.07
449,67.77,50,1000,0.01,16,CIFAR10,53381.07
450,67.78,50,1000,0.01,16,CIFAR10,53381.07
451,67.8,50,1000,0.01,16,CIFAR10,53381.07
452,67.76,50,1000,0.01,16,CIFAR10,53381.07
453,67.73,50,1000,0.01,16,CIFAR10,53381.07
454,67.76,50,1000,0.01,16,CIFAR10,53381.07
455,67.75,50,1000,0.01,16,CIFAR10,53381.07
456,67.73,50,1000,0.01,16,CIFAR10,53381.07
457,67.75,50,1000,0.01,16,CIFAR10,53381.07
458,67.8,50,1000,0.01,16,CIFAR10,53381.07
459,67.81,50,1000,0.01,16,CIFAR10,53381.07
460,67.8,50,1000,0.01,16,CIFAR10,53381.07
461,67.79,50,1000,0.01,16,CIFAR10,53381.07
462,67.75,50,1000,0.01,16,CIFAR10,53381.07
463,67.77,50,1000,0.01,16,CIFAR10,53381.07
464,67.78,50,1000,0.01,16,CIFAR10,53381.07
465,67.77,50,1000,0.01,16,CIFAR10,53381.07
466,67.77,50,1000,0.01,16,CIFAR10,53381.07
467,67.77,50,1000,0.01,16,CIFAR10,53381.07
468,67.75,50,1000,0.01,16,CIFAR10,53381.07
469,67.7,50,1000,0.01,16,CIFAR10,53381.07
470,67.72,50,1000,0.01,16,CIFAR10,53381.07
471,67.73,50,1000,0.01,16,CIFAR10,53381.07
472,67.71,50,1000,0.01,16,CIFAR10,53381.07
473,67.7,50,1000,0.01,16,CIFAR10,53381.07
474,67.7,50,1000,0.01,16,CIFAR10,53381.07
475,67.7,50,1000,0.01,16,CIFAR10,53381.07
476,67.7,50,1000,0.01,16,CIFAR10,53381.07
